text,label
"Tax return pending hai account details do for direct credit",1
"Aapka bima mature ho gaya claim karne ke liye premium bharo",1
"This is your bank calling to verify suspicious transaction share OTP",1
"Aapne online shopping ki thi refund ke liye account details do",1
"Your child's scholarship is ready submit fee for release",1
"Aapko sarkari yojana ka paise milenge pehle registration karo fee ke saath",1
"Free mobile data offer activate karne ke liye OTP share karo",1
"Aapka property tax unpaid hai pay karo nahi toh property seal hogi",1
"You won a brand new car share details to take delivery",1
"Aapke UPI se galat transaction hua hai turant bank ko OTP share karo",1
"Your mutual fund account needs KYC update share PAN and bank details",1
"Investment guaranteed double in 15 days send now",1
"Aapka Aadhaar number misuse ho raha hai verify karo abhi",1
"This is last opportunity to claim your prize pay 200 only",1
"Aapke number se spam calls ja rahe hain number block hoga verification karo",1
"Bitcoin mein invest karo 500 percent profit guaranteed",1
"Your loan application is approved disburse money after paying fee",1
"Aapko prize mila hai but customs duty bharo pehle",1
"Hello how are you today",0
"Kal subah kya plan hai",0
"Bhai aaj movie dekhne chalte hain kya",0
"Mummy ne bola hai ki ghar pe aao khana khake jana",0
"Thanks for calling back I was just checking in",0
"Aaj ka weather kaisa rahega",0
"Office mein koi meeting hai kya aaj",0
"Happy birthday yaar kitna time ho gaya mila nahi",0
"Restaurant booking ho gayi hai 7 baje ka",0
"Bhai wo project kab tak complete hoga",0
"Good morning how was your weekend",0
"Aaj gym jayenge kya sath mein",0
"Flight ka time kya hai kal ka",0
"Mera parcel kab tak aayega",0
"Can you share the meeting link please",0
"Yaar koi acchi movie recommend kar",0
"Dinner ke liye kya banana chahoge",0
"School mein aaj kya hua tell me",0
"I will call you back after the meeting",0
"Bhai wo book wapas kar de jo liya tha",0
"The exam results are out have you checked",0
"Aaj traffic bahut zyada tha office mein late hua",0
"Let us plan a trip this summer somewhere nice",0
"Dadi ka health kaisa hai ab",0
"Can you pick me up from the station",0
"Yaar wo assignment submit kar di kya tune",0
"I just wanted to catch up it has been so long",0
"Aaj kya special hai dinner mein",0
"Please share the document on email",0
"Bhai practice ke liye ground pe aana",0
"How did your interview go today",0
"Aaj college mein presentation tha kaisi gayi",0
"Can you recommend a good doctor for back pain",0
"Yaar salary credit ho gayi kya aaj",0
"Let us meet for coffee tomorrow morning",0
"Mujhe recipe chahiye aloo paratha ki",0
"Bhai wifi password kya hai",0
"Happy anniversary to both of you",0
"I need help with this math problem",0
"Aaj subah jaldi uthna hai 6 baje",0
"Can you please call me when you are free",0
"Yaar wo ladka kaisa hai jo naya aaya hai class mein",0
"Congratulations on your promotion well deserved",0
"Aaj library mein milte hain study ke liye",0
"I am running a bit late please wait",0
"Bhai cricket match dekh raha hai kya aaj",0
"Please send me the address I am on the way",0
"Dinner reservation is at 8 pm Connaught Place",0
"Aaj ka lecture interesting tha na",0
"Can you look after my plants while I am away",0
"Yaar padhai kaisi chal rahi hai boards ki",0
"I wanted to say sorry for yesterday",0
"Aaj mausam bahut accha hai bahar jaate hain",0
"Please remind me about the meeting at 3 pm",0
"Bhai new season aa gaya favourite show ka",0
"How is the family everything okay",0
"Aaj kuch shopping karne ka plan tha",0
"Can we reschedule our call to tomorrow",0
"Yaar ticket book ho gayi concert ki",0
"I am just calling to check if you reached safely",0
"Aaj kya padh rahe ho tell me topics",0
"Bhai wo installment bhejo please",0
"How is the new job going is it good",0
"Aaj ghar pe koi function hai kya",0
"Let us play cricket this Sunday morning",0
"Yaar koi coding problem mein help chahiye",0
"I sent the files please check your email",0
"Aaj subah walk pe nahi aaye kahan the",0
"The project deadline has been extended by a week",0
"Bhai wi-fi chal nahi raha teri settings check kar",0
"Did you see the news today something big happened",0
"Aaj ki photoshoot kaisi rahi",0
"Can you babysit tonight we have plans",0
"Yaar result aane wala hai nervous hun",0
"Let us study together in the library",0
"Aaj kuch naya banana sikhate hain kitchen mein",0
"Bhai jo book mangi thi woh le aaya kya",0
"I will be home by 9 do not wait for dinner",0
"Aaj match mein aaoge naa support karne",0
"Please send the invoice by end of day",0
"Yaar kisi ne tera number diya tha kisi ko bata de",0
"Our college reunion is next month planning started",0
"Aaj ke notes share kar please class ke",0
"Bhai kal airport drop kar sakta hai kya",0
"Did you finish reading the book I gave you",0
"Aaj clinic mein appointment book karni thi",0
"Can you join our study group on WhatsApp",0
"Yaar naya phone liya hai kaisa lagta hai",0
"I wanted to thank you for your help yesterday",0
"Aaj dono milke ghumne chalte hain kahin",0
"Please save my number I changed my phone",0
"Bhai birthday party mein kya gift le jaayein",0
"How is your preparation for the final exam",0
"Aaj mujhe thoda late hoga meeting mein wait karo",0
"Let us catch up over lunch this week sometime",0
"Yaar hostel ka kamra mila ki nahi",0
"I am at the market what do you need me to bring",0
"Aaj drawing class mein kya sikha naya",0
"Please let me know when you reach home",0
"Bhai coding bootcamp mein join kiya kya",0
"The wedding is on December 15th save the date",0
"Aaj mummy ki tabiyat thodi kharab thi",0
"Can you help me move furniture this weekend",0
"Yaar movie ticket book karte hain aaj ki",0
"I just got back from the hospital all is well",0
"Aaj road trip ka plan ban raha hai",0
"Please keep in touch it was great meeting you",0
"Bhai internship letter aaya kya college se",0
"How is the renovation going in your new house",0
"Aaj online class mein connectivity issue tha",0
"Did you get my message on WhatsApp yesterday",0
"Yaar kal ki train pakadni hai packing ho gayi",0
"I am calling to wish you on your new job",0
"Aaj subah yoga kiya kya",0
"Can you share your notes from today's lecture",0
"Bhai khelne chalte hain badminton court pe",0
"The conference call is scheduled for Monday",0
"Aaj birthday cake order karna tha",0
"Yaar gym membership le lete hain sath mein",0
"I saw your post very inspiring",0
"Aaj baarish ho rahi hai bahar mat nikalna",0
"Let me know if you need anything from my side",0
"Your account is showing unusual login please verify OTP sent to your number",1
"Aapke naam pe 3 loans hain jo unpaid hain turant settle karo",1
"Send your bank passbook photo for government scheme registration",1
"Aapka phone number lottery mein select hua hai 25 lakh ka prize",1
"This is from your telecom provider share OTP to upgrade plan",1
"Aapne recently job apply ki thi interview fee bharo",1
"Your credit score has dropped pay to fix it now",1
"Aapko video call pe daraya jayega agar abhi payment nahi ki",1
"Send me your Aadhaar number and selfie for verification",1
"Aapka koi relative accident mein hai hospital charges bharo abhi",1
"Your electricity bill is overdue they will disconnect share OTP",1
"Aapne kisi site pe registration kiya tha fee pending hai",1
"This is from NPCI your UPI is compromised share PIN",1
"Paisa invest karo halal tarike se 5 gunna milega",1
"Aapka PPF account maturin ho gaya claim karne ke liye fee bharo",1
"Your bank account will be debited automatically share OTP to stop",1
"Aapke phone mein malware hai remote access do fix karte hain",1
"You have pending traffic challans pay immediately or license suspended",1
"Aapke bijli ka meter faulty hai new meter ke liye charge do",1
"This is last chance to claim GST refund share details now",1
"Aapko scheme mein select kiya gaya hai par processing fee lagegi",1
"Your card transaction of 49000 is pending approve by OTP",1
"Aapne online application ki thi result aya hai fee bharo",1
"Free solar panel scheme available pay installation only",1
"Aapka name government database mein registered nahi hai update karo fee se",1
"Your account has been hacked change password share OTP first",1
"Aapko CBI ke saame pesh hona hoga ya settlement karo",1
"You won Google lucky prize claim by paying small fee",1
"Aapka EPFO account mein 80000 pending hai claim karo fee se",1
"Send 1000 rupee gift card code to unlock your prize",1
"This is automated call from RBI your account is flagged",1
"Aapke Aadhaar se kisi aur ne account khola hai verify karo OTP",1
"Your mobile number will be used for illegal activity block karo OTP se",1
"Aapka sim band hone wala hai verification karo abhi",1
"Pay toll tax online now or your vehicle will be seized",1
"Aapko free government phone milega registration fee bharo",1
"Your Amazon pay balance will expire share OTP to extend",1
"Aapne ek website pe survey kiya tha 5000 ka reward pending hai fee bharo",1
"This is your electricity department disconnect in one hour pay now",1
"Aapka ghar se related ek important document pending hai urgently respond",1
